,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
49,DB00479,Amikacin,small molecule,Organic oxygen compounds,inhibitor,"Amikacin is a semi-synthetic aminoglycoside antibiotic that is derived from kanamycin A.[FDA label] Amikacin is synthesized by acylation with the l-(-)-γ-amino-α-hydroxybutyryl side chain at the C-1 amino group of the deoxystreptamine moiety of kanamycin A.[A39531]

Amikacin's unique property is that it exerts activity against more resistant gram-negative bacilli such as Acinetobacter baumanii and Pseudomonas aeruginosa. Amikacin also exerts excellent activity against most aerobic gram-negative bacilli from the Enterobacteriaceae family, including Nocardia and some Mycobacterium (M. avium-intracellulare, M. chelonae, and M. fortuitum)[L4680]. M. avium-intracellulare (MAC) is a type of nontuberculous mycobacteria (NTM) found in water and soil. Symptoms of this disease include a persistent cough, fatigue, weight loss, night sweats, and shortness of breath and the coughing up of blood.[L4680]

Several forms of amikacin are used currently, including an intravenous (IV) or intramuscular (IM) injection.[F1949] In September 2018, a liposomal inhalation suspension of this drug was approved by the FDA for the treatment of lung disease caused by Mycobacterium avium complex (MAC) bacteria in a small population of patients with the disease who do not respond to traditional treatment.[L4680,L4681]",What is the mechanism of action of Amikacin?,Inhibition of DNA gyrase,Disruption of cell wall synthesis,Binding to bacterial 30S ribosomal subunits,Blocking folic acid synthesis,Activation of bacterial autolysins,C
50,DB00488,Altretamine,small molecule,Organic nitrogen compounds,other,An alkylating agent proposed as an antineoplastic. It also acts as a chemosterilant for male houseflies and other insects.,What is the mechanism of action of Altretamine?,Inhibition of protein synthesis,Blockade of adrenergic receptors,Alkylating anti-neoplastic activity,Enhancement of neurotransmitter release,Inhibition of cyclooxygenase enzymes,C
51,DB00488,Altretamine,small molecule,Organic nitrogen compounds,other,An alkylating agent proposed as an antineoplastic. It also acts as a chemosterilant for male houseflies and other insects.,What is the recommended route of administration for Altretamine?,Intravenous,Topical,Inhalation,Oral,Subcutaneous,D
52,DB00488,Altretamine,small molecule,Organic nitrogen compounds,other,An alkylating agent proposed as an antineoplastic. It also acts as a chemosterilant for male houseflies and other insects.,What is the protein binding percentage of Altretamine?,25%,50%,75%,94%,100%,D
53,DB00488,Altretamine,small molecule,Organic nitrogen compounds,other,An alkylating agent proposed as an antineoplastic. It also acts as a chemosterilant for male houseflies and other insects.,Which of the following is a known drug interaction with Altretamine that increases the risk of adverse effects?,Acetaminophen,Ibuprofen,Denosumab,Aspirin,Metformin,C
54,DB00536,Guanidine,small molecule,Organic nitrogen compounds,unknown,"A strong organic base existing primarily as guanidium ions at physiological pH. It is found in the urine as a normal product of protein metabolism. It is also used in laboratory research as a protein denaturant. (From Martindale, the Extra Pharmacopoeia, 30th ed and Merck Index, 12th ed) It is also used in the treatment of myasthenia and as a fluorescent probe in HPLC.",What is the lethal dose (LD50) of Guanidine in rats when administered orally?,100 mg/kg,200 mg/kg,300 mg/kg,475 mg/kg,600 mg/kg,D
55,DB00536,Guanidine,small molecule,Organic nitrogen compounds,unknown,"A strong organic base existing primarily as guanidium ions at physiological pH. It is found in the urine as a normal product of protein metabolism. It is also used in laboratory research as a protein denaturant. (From Martindale, the Extra Pharmacopoeia, 30th ed and Merck Index, 12th ed) It is also used in the treatment of myasthenia and as a fluorescent probe in HPLC.",Which of the following is a known salt form of Guanidine?,Guanidine sulfate,Guanidine nitrate,Guanidine hydrochloride,Guanidine phosphate,Guanidine acetate,C
56,DB00536,Guanidine,small molecule,Organic nitrogen compounds,unknown,"A strong organic base existing primarily as guanidium ions at physiological pH. It is found in the urine as a normal product of protein metabolism. It is also used in laboratory research as a protein denaturant. (From Martindale, the Extra Pharmacopoeia, 30th ed and Merck Index, 12th ed) It is also used in the treatment of myasthenia and as a fluorescent probe in HPLC.",How is Guanidine primarily eliminated from the body?,Through feces,Through sweat,Not metabolized,Through urine,Through respiration,C
57,DB00536,Guanidine,small molecule,Organic nitrogen compounds,unknown,"A strong organic base existing primarily as guanidium ions at physiological pH. It is found in the urine as a normal product of protein metabolism. It is also used in laboratory research as a protein denaturant. (From Martindale, the Extra Pharmacopoeia, 30th ed and Merck Index, 12th ed) It is also used in the treatment of myasthenia and as a fluorescent probe in HPLC.",What is the mechanism of action of Guanidine in treating muscle weakness?,It blocks acetylcholine receptors at the neuromuscular junction,It enhances the release of acetylcholine following a nerve impulse,It inhibits the breakdown of muscle proteins,It increases calcium uptake in muscle cells,It acts as a muscle relaxant by central nervous system depression,B
58,DB00571,Propranolol,small molecule,Benzenoids,antagonist,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",Which of the following is NOT a known side effect of Propranolol overdose?,Hypotension,Hypoglycemic seizure,Euphoria,Hyperglycemia,Insomnia,D
59,DB00571,Propranolol,small molecule,Benzenoids,antagonist,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",What is the mechanism of action of Propranolol?,Calcium channel blocking,Nonselective β-adrenergic receptor antagonism,Sodium channel blocking,Selective serotonin reuptake inhibition,Dopamine receptor antagonism,B
60,DB00571,Propranolol,small molecule,Benzenoids,antagonist,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",What is the approximate elimination half-life of Propranolol?,1 hour,3 hours,6 hours,8 hours,12 hours,D
61,DB00571,Propranolol,small molecule,Benzenoids,antagonist,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",Which of the following is a metabolite of Propranolol?,α-naphthoxylactic acid,Acetaminophen,Ibuprofen,Naproxen,Aspirin,A
62,DB00582,Voriconazole,small molecule,Benzenoids,antagonist | inhibitor,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660]",Which of the following fungal infections is Voriconazole NOT indicated for?,Invasive aspergillosis,Invasive candidiasis,Esophageal candidiasis,Athlete's foot,Infections caused by Scedosporium apiospermum,D
63,DB00582,Voriconazole,small molecule,Benzenoids,antagonist | inhibitor,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660]",What is the mechanism of action of Voriconazole?,Inhibition of bacterial cell wall synthesis,Inhibition of DNA gyrase,Inhibition of fungal cell membrane ergosterol synthesis,Activation of the immune system,Blockage of viral RNA replication,C
64,DB00582,Voriconazole,small molecule,Benzenoids,antagonist | inhibitor,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660]",What is a major side effect of Voriconazole as noted in its pharmacodynamics?,Hypertension,Photosensitivity reactions,Severe hypoglycemia,Increased platelet count,Muscle growth,B
65,DB00582,Voriconazole,small molecule,Benzenoids,antagonist | inhibitor,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660]",How is Voriconazole metabolized in the body?,Primarily through renal excretion,Through cytochrome P450 enzymes in the liver,Via direct excretion in the bile,Through passive diffusion,By hydrolysis in the plasma,B
